year,candidate,party,votes,pct_exprimes
2002,Jacques Chirac,RPR [ a ],5665855,19.88
2002,Jean-Marie Le Pen,FN,4804713,16.86
2002,Lionel Jospin,PS,4610113,16.18
2002,François Bayrou,UDF,1949170,6.84
2002,Arlette Laguiller,LO,1630045,5.72
2002,Jean-Pierre Chevènement,MDC [ b ],1518528,5.33
2002,Noël Mamère,LV,1495724,5.25
2002,Olivier Besancenot,LCR,1210562,4.25
2002,Jean Saint-Josse,CPNT,1204689,4.23
2002,Alain Madelin,DL,1113484,3.91
2002,Robert Hue,PCF,960480,3.37
2002,Bruno Mégret,MNR,667026,2.34
2002,Christiane Taubira,PRG,660447,2.32
2002,Corinne Lepage,Cap21,535837,1.88
2002,Christine Boutin,FRS,339112,1.19
2002,Daniel Gluckstein,PT,132686,0.47
2007,Nicolas Sarkozy,UMP [ a ],11448663,31.18
2007,Ségolène Royal,PS [ b ],9500112,25.87
2007,François Bayrou,UDF [ c ],6820119,18.57
2007,Jean-Marie Le Pen,FN [ d ],3834530,10.44
2007,Olivier Besancenot,LCR,1498581,4.08
2007,Philippe de Villiers,MPF,818407,2.23
2007,Marie-George Buffet,PCF [ e ],707268,1.93
2007,Dominique Voynet,LV [ f ],576666,1.57
2007,Arlette Laguiller,LO,487857,1.33
2007,José Bové,DVG [ g ],483008,1.32
2007,Frédéric Nihous,CPNT,420645,1.15
2007,Gérard Schivardi,PT,123540,0.34
2012,François Hollande,PS [ a ],10272705,28.63
2012,Nicolas Sarkozy,UMP [ b ],9753629,27.18
2012,Marine Le Pen,FN,6421426,17.9
2012,Jean-Luc Mélenchon,FG [ c ],3984822,11.1
2012,François Bayrou,MoDem,3275122,9.13
2012,Eva Joly,EELV,828345,2.31
2012,Nicolas Dupont-Aignan,DLR,643907,1.79
2012,Philippe Poutou,NPA,411160,1.15
2012,Nathalie Arthaud,LO,202548,0.56
2012,Jacques Cheminade,SP,89545,0.25
2017,Emmanuel Macron,EM [ a ],8656346,24.01
2017,Marine Le Pen,FN,7678491,21.3
2017,François Fillon,LR [ b ],7212995,20.01
2017,Jean-Luc Mélenchon,LFI [ c ],7059951,19.58
2017,Benoît Hamon,PS [ d ],2291288,6.36
2017,Nicolas Dupont-Aignan,DLF,1695000,4.7
2017,Jean Lassalle,RES,435301,1.21
2017,Philippe Poutou,NPA,394505,1.09
2017,François Asselineau,UPR,332547,0.92
2017,Nathalie Arthaud,LO,232384,0.64
2017,Jacques Cheminade,SP,65586,0.18
2022,Emmanuel Macron,LREM [ d ],9783058,27.85
2022,Marine Le Pen,RN [ e ],8133828,23.15
2022,Jean-Luc Mélenchon,LFI [ f ],7712520,21.95
2022,Éric Zemmour,REC [ g ],2485226,7.07
2022,Valérie Pécresse,LR [ h ],1679001,4.78
2022,Yannick Jadot,EELV [ i ],1627853,4.63
2022,Jean Lassalle,RES,1101387,3.13
2022,Fabien Roussel,PCF [ j ],802422,2.28
2022,Nicolas Dupont-Aignan,DLF [ k ],725176,2.06
2022,Anne Hidalgo,PS,616478,1.75
2022,Philippe Poutou,NPA,268904,0.77
2022,Nathalie Arthaud,LO [ l ],197094,0.56
